color;nom;Score;Players;Score1;Districts;Population;nb_commerces;nameofsample;longitude;latitude;codcomm;Simul_utc_time
darkblue;VILLENEUVE-LES-MAGUELONE;11022773;2;22045546;2;7153;3081;30778;3.856921222006613;43.53439150208008;340337;2022-06-29-11:36:46
darkblue;VENDARGUES;3145594;8;25164756;4;9228;2726;288;3.94670107391198;43.653921037862936;340327;2022-06-29-11:36:46
darkblue;SUSSARGUES;3020598;1;3020598;1;2751;1097;22588;4.001314842384151;43.70843713964677;340307;2022-06-29-11:36:46
darkblue;SAUSSAN;2059288;3;6177864;3;6686;923;28984;3.7731246060188393;43.56311964276385;340295;2022-06-29-11:36:46
darkblue;SAINT-JEAN-DE-VEDAS;6832424;3;20497274;3;8491;2413;26625;3.827235123882108;43.58547447829013;340270;2022-06-29-11:36:46
darkblue;SAINT-GENIES-DES-MOURGUES;1603980;1;1603980;1;1876;854;15034;4.030798889442822;43.69474851469042;340256;2022-06-29-11:36:46
darkblue;SAINT-DREZERY;2194225;1;2194225;1;2525;868;35550;3.979536253684579;43.73079175551696;340249;2022-06-29-11:36:46
darkblue;SAINT-BRES;1086111;5;5430558;2;5019;1081;18794;4.038283230543556;43.66951716334817;340244;2022-06-29-11:36:46
darkblue;SAINT GEORGES D ORQUES;9056884;3;27170652;3;13044;2082;363;3.7786901543556777;43.61553346816319;340259;2022-06-29-11:36:46
darkblue;RESTINCLIERES;2490183;2;4980366;2;3834;1298;29894;4.030181389358977;43.7262095633697;340227;2022-06-29-11:36:46
darkblue;PRADES-LE-LEZ;3967404;3;11902212;3;6132;1940;3884;3.870130064373796;43.69557415062612;340217;2022-06-29-11:36:46
darkblue;PIGNAN;5603501;3;16810505;3;7019;2394;37112;3.759584451324709;43.58468983057377;340202;2022-06-29-11:36:46
darkblue;PEROLS;3077902;15;46168538;5;11479;4021;33790;3.947094522785597;43.565423134168775;340198;2022-06-29-11:36:46
darkblue;MURVIEL-LES-MONTPELLIER;1559587;2;3119175;2;4621;674;3091;3.740103589596986;43.60152676980166;340179;2022-06-29-11:36:46
darkblue;MONTPELLIER;26409809;16;422556951;12;40697;10382;25440;3.843595047049983;43.61451527078684;340172;2022-06-29-11:36:46
darkblue;MONTFERRIER-SUR-LEZ;5036416;2;10072832;2;6272;1605;18417;3.854191094178717;43.66818919036618;340169;2022-06-29-11:36:46
darkblue;MONTAUD;703200;2;1406400;2;3516;399;3567;3.961125138150543;43.7468904963194;340164;2022-06-29-11:36:46
darkblue;LE CRES;2959112;9;26632008;4;9228;2885;39008;3.943221103047585;43.65486677504372;340090;2022-06-29-11:36:46
darkblue;LAVERUNE;6461052;1;6461052;1;3237;1995;40094;3.804901285603949;43.58602026928119;340134;2022-06-29-11:36:46
darkblue;LATTES;7141042;7;49987296;4;10656;4690;10973;3.907263436043163;43.57249764974923;340129;2022-06-29-11:36:46
darkblue;JUVIGNAC;6580181;38;250046892;7;26703;9363;30688;3.813791904999229;43.61824310884794;340123;2022-06-29-11:36:46
darkblue;JACOU;2598617;15;38979266;4;12631;3085;8133;3.90712056649129;43.6568380367703;340120;2022-06-29-11:36:46
darkblue;GRABELS;5250203;1;5250203;1;5341;982;2060;3.8238971955841743;43.65404937997136;340116;2022-06-29-11:36:46
darkblue;FABREGUES;5801310;1;5801310;1;2649;2189;29196;3.777022070056728;43.55350932854355;340095;2022-06-29-11:36:46
darkblue;COURNONTERRAL;2623656;9;23612904;3;9506;2483;1347;3.7141903101822447;43.55447373393024;340088;2022-06-29-11:36:46
darkblue;COURNONSEC;3807024;2;7614048;2;6101;1247;28808;3.7040323991424366;43.55160674448492;340087;2022-06-29-11:36:46
darkblue;CLAPIERS;4953946;2;9907893;2;5477;1808;5638;3.890070220813966;43.6578848434125;340077;2022-06-29-11:36:46
darkblue;CASTRIES;5367813;3;16103439;3;6177;2606;16759;3.982828648689437;43.67799689850688;340058;2022-06-29-11:36:46
darkblue;CASTELNAU LE LEZ;2933460;28;82136894;5;15878;5172;15158;3.906513362384913;43.63363347364627;340057;2022-06-29-11:36:46
darkblue;BEAULIEU;2294649;2;4589298;2;3834;1196;878;4.02877977559412;43.72626662621196;340027;2022-06-29-11:36:46
darkblue;BAILLARGUES;1778021;12;21336256;3;7753;2751;12536;4.010584662647753;43.65715481322152;340022;2022-06-29-11:36:46
